dataset,method,run_id,n_tasks,accuracy_all_avg,accuracy_seen_avg,accuracy_final,forward_transfer,backward_transfer,ece_all_avg,ece_seen_avg,ece_final,ace_all_avg,ace_seen_avg,ace_final,sce_all_avg,sce_seen_avg,sce_final,brier_all_avg,brier_final,duration_s
core50,ball,03,10,0.24149969220161438,0.5113064050674438,0.34195905923843384,0.0,-0.1783510446548462,0.39170003259517255,0.1528366347669109,0.19690211546048522,0.020143566785650307,0.004204047798437402,0.006488759138934316,0.019427869201660154,0.006108219585212947,0.007909222717285155,1.1255358334111467,0.878031980971762,6600.680331534706
core50,ball,04,10,0.24799378216266632,0.5137696862220764,0.38145360350608826,0.0,-0.14774958789348602,0.38294316550880664,0.14269944040420907,0.1310500654220581,0.01966034411631456,0.0037200211859197948,0.004458096220124514,0.01896471514282226,0.005633530998700533,0.005261539123535156,1.1187347065829816,0.8202566697759863,6582.07530937111
core50,clora,00,10,0.21065685153007507,0.4511778950691223,0.3190663158893585,0.0,-0.1721096932888031,0.43085563897430895,0.21393553025084627,0.21265716052055358,0.021483748204669778,0.006378980761926017,0.00875378277478693,0.0212145213470459,0.008872395837552324,0.009305592529296875,1.177205277666864,0.8931275181031677,4645.366731866263
core50,clora,01,10,0.2360043078660965,0.49523940682411194,0.346651554107666,0.0,-0.15906155109405518,0.39618032213121657,0.16343974439432093,0.1741947687149048,0.020232787026219855,0.004637532500340181,0.007281280081171543,0.01981500019226074,0.006779931442612297,0.007647310119628905,1.1337860429681519,0.8522123819554228,4537.617361087818
core50,clora,02,10,0.22845974564552307,0.48899683356285095,0.3471532464027405,0.0,-0.17971335351467133,0.4184161204910278,0.19056028221639326,0.19116165056228637,0.020742648122114772,0.0051948227848097085,0.007632840661814903,0.02038566414794922,0.007749181564508913,0.008480602966308592,1.1537603869220394,0.8615144283009911,4583.1243434879
core50,clora,03,10,0.2212686538696289,0.47578930854797363,0.3258435130119324,0.0,-0.15512363612651825,0.41853777413241566,0.19987548575824843,0.21223370537757874,0.02086531331249828,0.005447363495179916,0.007892182510318235,0.020422077810668942,0.007970988280274502,0.008538812133789061,1.1582356344991902,0.890433131743985,4518.563500640914
core50,clora,04,10,0.24260596930980682,0.5053890347480774,0.3815773129463196,0.0,-0.1620565950870514,0.41210365379631525,0.17736079373484098,0.17366802554130556,0.020570496900262934,0.00495541838415355,0.0070207599394810395,0.020094515829467773,0.0072205182939578,0.007530232177734375,1.1410707010774075,0.8262568803902625,4546.027283537202
core50,ewc,00,10,0.12436485290527344,0.32404473423957825,0.08833275735378265,0.0,-0.6933748126029968,0.3830119557489454,0.21688474226224588,0.38319332271814344,0.02310770718514594,0.009794171953439918,0.020643748966634276,0.02188112710342407,0.010689126857242713,0.020271287170410154,1.1750370314125953,1.1901687642259093,5090.915814938955
core50,ewc,01,10,0.1387253850698471,0.3526073694229126,0.12676779925823212,0.0,-0.7038100957870483,0.3695138753645122,0.19584318867886805,0.3469948019474745,0.022732505612593074,0.00934883926365546,0.018244708784759048,0.02137936281967163,0.009844504959954823,0.01780800219726562,1.155092133721464,1.1432796344159497,5012.093593112193
core50,ewc,02,10,0.13409094512462616,0.3569432199001312,0.1113191470503807,0.0,-0.7232985496520996,0.36543614172995087,0.18780983621148917,0.35225159172862774,0.02259531026371312,0.008962425646061638,0.01729543074667454,0.02110333910598755,0.009532060241625733,0.017032079467773433,1.1482021665749476,1.1489921646460537,5157.318730327301
core50,ewc,03,10,0.12319256365299225,0.3326791226863861,0.08545765280723572,0.0,-0.7268673181533813,0.39739174916259945,0.23265722783160672,0.3309328617453575,0.023864604434589393,0.010866671237828335,0.016818817621707918,0.022415718646240233,0.011484943021643138,0.0164250715637207,1.183983410273195,1.134870362234714,5058.048891892191
