dataset,method,run_id,task,accuracy_all,accuracy_seen,ace_all,ace_seen,brier_all,ece_all,ece_seen,sce_all,sce_seen
cifar100,replay,2926856_3,5,0.52840006,0.8806667,0.007850405348200935,1.4313472355181289e-05,0.7161812509468153,0.2749879106223583,0.024087212264537774,0.0070203293304443365,0.00045559733072916635
cifar100,replay,2926856_3,6,0.6024,0.86057144,0.005945706126852659,3.037740632509182e-05,0.5975204237276448,0.21324668692648413,0.02838152791772572,0.0054028461303710935,0.0005658527047293528
cifar100,replay,2926856_3,7,0.67240006,0.84050006,0.0039947342753202525,5.933338798400611e-05,0.49433473822550666,0.16644444584250445,0.04053009086847305,0.0039023243408203125,0.0008041768169403075
cifar100,replay,2926856_3,8,0.7575,0.84166664,0.0020378997544482106,6.865914787243447e-05,0.36199693850773657,0.09549006162285804,0.035686341325441975,0.002203778442382813,0.0007193653869628904
cifar100,replay,2926856_3,9,0.8068,0.8068,0.00011093132581532672,0.00011093132581532672,0.2801203272857312,0.057195194406062376,0.057195194406062376,0.0011428449554443361,0.0011428449554443361
cifar100,replay,2925044_0,0,0.0981,0.981,0.017587056694572792,7.169954461277173e-06,1.4046487790982294,0.6045181511878968,0.010277216285467145,0.01613888568115234,0.00021283108562231064
cifar100,replay,2925044_0,1,0.19219999,0.96099997,0.015583834130542353,8.471097262954278e-06,1.2373585085134913,0.5211892476558685,0.01675808823108673,0.013815466796875,0.00025653006076812744
cifar100,replay,2925044_0,2,0.2819,0.9396667,0.013405545576834588,1.4197219760245811e-05,1.0703069318094163,0.4329494361877441,0.010554123997688325,0.011663854949951173,0.00020125825881958038
cifar100,replay,2925044_0,3,0.36929998,0.92324996,0.011575678399193101,1.3355295960354541e-05,0.9660023089792626,0.39062821347713467,0.0099979447722435,0.010180421417236327,0.00017498836517333986
cifar100,replay,2925044_0,4,0.4505,0.901,0.009680634945866653,2.2020747199306323e-05,0.8382533574650483,0.33247692079544067,0.01652610670924192,0.008497746826171874,0.00026186620330810606
cifar100,replay,2925044_0,5,0.52720004,0.87866664,0.007819969884540305,1.4644591837276956e-05,0.7257791473061623,0.2827907226115465,0.031033155381679577,0.007083910308837891,0.0005785467402140304
cifar100,replay,2925044_0,6,0.6065,0.8664285,0.005957583239645172,4.435528706056598e-05,0.6002576680530607,0.21811609810590749,0.029518909407513443,0.005479567794799804,0.000537868979317801
cifar100,replay,2925044_0,7,0.6764,0.8455,0.004003238199645305,6.69581820341408e-05,0.49434473491973857,0.16653066040873526,0.03972250727564101,0.003952290588378906,0.0007756636428833014
cifar100,replay,2925044_0,8,0.75949997,0.8438889,0.0020613116791873467,7.359688100023372e-05,0.3575656533764884,0.09741875504255293,0.03337020394537182,0.0021614576873779296,0.0006710787455240883
cifar100,replay,2925044_0,9,0.8056,0.8056,0.00011410518910066379,0.00011410518910066379,0.2757293479834286,0.05856853161454205,0.05856853161454205,0.001099297714233399,0.001099297714233399
cifar100,replay,2917145_4,0,0.098299995,0.983,0.017597097791088746,7.150368318834429e-06,1.4117253137736003,0.6109646374225616,0.0070749197006225815,0.01618550198364258,0.0001727730739116671
cifar100,replay,2917145_4,1,0.1919,0.9595,0.015586133269323038,4.740908072636024e-06,1.2403363190829242,0.5238924853041769,0.009280705034732785,0.01382098956298828,0.0001720850586891171
cifar100,replay,2917145_4,2,0.283,0.9433333,0.013394494233136534,8.115914641045817e-06,1.0629725472750648,0.42631804394721984,0.00873836346467337,0.01160981021118164,0.000192569751739502
cifar100,replay,2917145_4,3,0.37010002,0.92525005,0.011536234382622178,1.4131388154019112e-05,0.9679798495686398,0.3940160165309906,0.010998995244503006,0.010192854766845703,0.00014864430427551255
cifar100,replay,2917145_4,4,0.45170003,0.90339994,0.009692471315968433,9.121735229739745e-06,0.8330966497748783,0.3272860846757889,0.018032964645326117,0.00844473908996582,0.0003290948104858396
cifar100,replay,2917145_4,5,0.5257,0.87616664,0.007848305679672863,2.088014570462512e-05,0.7271829182173082,0.2805902318060398,0.032599151253700255,0.007089761825561524,0.0006317345937093099
cifar100,replay,2917145_4,6,0.6004,0.85771424,0.0059678878282989605,5.6470743107785145e-05,0.6045827032269542,0.21895654782056806,0.03338508178506573,0.00545184454345703,0.000651506205967494
cifar100,replay,2917145_4,7,0.66899997,0.83624995,0.004025928045181442,7.855626265518487e-05,0.5038677636760318,0.17184562673568726,0.04740227561816575,0.003958743011474609,0.0009271586990356449
cifar100,replay,2917145_4,8,0.7531,0.83677775,0.002060563545011799,8.081815545647796e-05,0.3645029462341217,0.09519631133675575,0.03408162737554969,0.002233131958007812,0.0006536445278591575
cifar100,replay,2917145_4,9,0.8045,0.8045,0.00015007264909945735,0.00015007264909945735,0.2838740471619996,0.0638793558478355,0.0638793558478355,0.001252456878662109,0.001252456878662109
cifar100,replay,2926800_2,0,0.098299995,0.983,0.017535430011659865,9.295972458203114e-06,1.4084388749586474,0.6071428611285985,0.011609930992126509,0.016111659851074222,0.00023586688280105635
cifar100,replay,2926800_2,1,0.1935,0.9675,0.015502705925651828,4.126093842933042e-06,1.2397448226494572,0.5239801647812128,0.013472584053874075,0.013827624664306641,0.00024359173536300712
cifar100,replay,2926800_2,2,0.2846,0.94866663,0.013238944763298146,1.0204729809338304e-05,1.0582378432355937,0.4238739739894867,0.012245204895734765,0.011518333892822264,0.00017334082285563128
cifar100,replay,2926800_2,3,0.3699,0.92475,0.011514003263246503,1.155998909413042e-05,0.960547904248314,0.3895216946840287,0.008817124634981126,0.01013284048461914,0.00014367779731750457
cifar100,replay,2926800_2,4,0.45299998,0.906,0.009672614617871585,1.2530845285101346e-05,0.8324308671352432,0.3270169494390488,0.013192046129703525,0.00850660382080078,0.0002703411712646484
cifar100,replay,2926800_2,5,0.5319,0.88650006,0.007816188816769981,1.9963007303982494e-05,0.7127162386882988,0.271554061049223,0.023644421162704665,0.0070000989379882805,0.00042756982803344773
cifar100,replay,2926800_2,6,0.60690004,0.867,0.005920375058252132,3.2896278936989634e-05,0.596564965037549,0.2135294989943504,0.026602589786052754,0.005377453186035156,0.0005270425524030418
cifar100,replay,2926800_2,7,0.6749,0.843625,0.004023059502669318,7.245253154258442e-05,0.4958398674976374,0.1686242591023445,0.04287300973385573,0.003940218139648437,0.0008459644985198973
cifar100,replay,2926800_2,8,0.76100004,0.84555554,0.0020668872416793596,8.751360882009093e-05,0.35975518406002305,0.09522434877753255,0.03377888659305042,0.0022055987243652345,0.0006641436937120226
cifar100,replay,2926800_2,9,0.81049997,0.81049997,0.00013088351039378945,0.00013088351039378945,0.27736325483618773,0.054416568797826775,0.054416568797826775,0.0011169967498779298,0.0011169967498779298
cifar100,replay,2925045_1,0,0.098400004,0.984,0.01754486022414081,8.2194764504661e-06,1.409985460775856,0.610024037361145,0.010914265632629361,0.016071402252197265,0.00022124657511711084
cifar100,replay,2925045_1,1,0.1929,0.9645,0.015484135121936447,9.332179960764553e-06,1.239641370257374,0.5220747780561447,0.013508147358894313,0.013792042114257812,0.0002425854778289792
cifar100,replay,2925045_1,2,0.2825,0.94166666,0.013341381624554286,1.2264542630630174e-05,1.070458107193487,0.4342072619199753,0.014304758916298533,0.011687675384521482,0.0001733672777811685
cifar100,replay,2925045_1,3,0.3689,0.92225,0.011541106719330535,1.2364722625498208e-05,0.9693268502811224,0.3984701895833016,0.010546900872141147,0.010201688629150388,0.000182204341888428
cifar100,replay,2925045_1,4,0.45030004,0.9006001,0.009721580535796122,2.9836065336830442e-05,0.8424557022281377,0.3375832814045251,0.02194540406912563,0.008622852249145508,0.0003803243179321287
cifar100,replay,2925045_1,5,0.528,0.87999994,0.007841583669257001,2.3514645448400062e-05,0.7247337876902314,0.28362730687558646,0.026710655550162006,0.007117667297363281,0.0005420475514729819
