dataset,method,run_id,n_tasks,accuracy_all_avg,accuracy_final,accuracy_seen_avg,ace_all_avg,ace_final,ace_seen_avg,backward_transfer,brier_all_avg,brier_final,ece_final,ece_seen_avg,ece_all_avg,forward_transfer,sce_all_avg,sce_final,sce_seen_avg,asce_final
domainnet,replay,2970081_3,5,0.36953064799308777,0.5034226775169373,0.6741801500320435,0.0026024404802105754,0.0008956432485605753,0.00037243783290166684,-0.33287695050239563,0.8535778451846421,0.6662920514174886,0.1655166275826191,0.07686088851877608,0.2620992688526835,0.0,0.002096131437207371,0.0011954998171846251,0.0005496860671280844,0.0011954869009245413
domainnet,replay,2968543_1,5,0.37054482102394104,0.5049972534179688,0.6761835217475891,0.0025936505443828915,0.0008808196636043643,0.0003707569627368788,-0.3308935761451721,0.8517439486620303,0.664403591769235,0.16255530387980155,0.07455385246557444,0.25921680726061147,0.0,0.0020876919445141687,0.001183625095574309,0.0005488748728424066,0.0011835948601634152
domainnet,replay,2964430_4,5,0.37162071466445923,0.5129224061965942,0.6765991449356079,0.002593398673381499,0.0008776393982285882,0.000366914245348395,-0.3298960328102112,0.8519753874328524,0.6582236134790269,0.1610686206486326,0.07570732276304243,0.2606933728924795,0.0,0.0020810037312665904,0.001167978633863085,0.0005427580085851173,0.0011676189168552222
domainnet,replay,2970075_2,5,0.36939382553100586,0.5037656426429749,0.6741889715194702,0.0025917536511868115,0.0008780329256070805,0.00036092493882718227,-0.33403322100639343,0.8540458220839613,0.6675899266242135,0.16968887096546198,0.07798101823003042,0.2628096566477148,0.0,0.0020981455333044857,0.0012150391444422245,0.0005527689547899783,0.001214820361710784
domainnet,replay,2968539_0,5,0.3681371808052063,0.5038579702377319,0.6731201410293579,0.0025925311223205525,0.0008692619392143531,0.00036242380863342374,-0.3384748697280884,0.8549677400492728,0.6640797243054735,0.16289608439237563,0.07723549574910274,0.261716600406218,0.0,0.002091127455817822,0.0011935434799959592,0.0005497976334230155,0.0011934530411114807
domainnet,der,2985521_3,5,0.40488117933273315,0.5957782864570618,0.7177452445030212,0.002316359999846864,9.955757657332585e-05,7.604432476920463e-05,-0.21668648719787598,0.7967956900542383,0.5456869020798665,0.043758419626215295,0.025109315818729307,0.1973640864372411,0.0,0.0015424633390822284,0.00022734358016705374,0.00012199751930379053,0.00022725188391055522
domainnet,der,2964432_4,5,0.40666189789772034,0.5972248315811157,0.7201983332633972,0.002312349923046014,0.00011362100562970074,7.88649873868099e-05,-0.213177889585495,0.7957050014751678,0.5443894200713221,0.0421505830962977,0.024237652119727997,0.19702514776589383,0.0,0.001546625408395769,0.00023420105741053497,0.00011643458233467828,0.0002343558436657532
domainnet,der,2977234_2,5,0.4052824378013611,0.5960127115249634,0.7183392643928528,0.002311880888744354,9.334396016405454e-05,7.505547900526952e-05,-0.21698975563049316,0.7973027630564938,0.5466329325866949,0.042365413216395455,0.024239002889873556,0.19617594363841367,0.0,0.0015345597859652525,0.00022298051179038731,0.00011494093991602696,0.00022291114328620008
domainnet,der,2977171_1,5,0.40498465299606323,0.5946391224861145,0.7180727124214172,0.0022995102649308514,0.000100568152593014,7.169102550925805e-05,-0.2168770581483841,0.7975790502473146,0.5483959864233431,0.0437114124514722,0.02507540325869125,0.1972885765524961,0.0,0.0015429008694556581,0.00021027250760279477,0.00011341341529223308,0.00021053196903433018
domainnet,der,2976656_0,5,0.40695029497146606,0.5974725484848022,0.7208633422851562,0.0023102572525727804,0.00010131957993116209,7.39307258098047e-05,-0.21323303878307343,0.7957857403691283,0.5450138625746456,0.042399574307347615,0.023517633108836273,0.19900518279509555,0.0,0.001557164573675112,0.0002404563202935958,0.00012274534710160438,0.0002406944774151616
domainnet,joint,2986984_3,1,0.752945601940155,0.752945601940155,0.752945601940155,1.5226019540361086e-05,1.5226019540361086e-05,1.5226019540361086e-05,,0.33439573201739503,0.33439573201739503,0.014502823630070823,0.014502823630070823,0.014502823630070823,,5.2373178888201095e-05,5.2373178888201095e-05,5.2373178888201095e-05,5.2152186356765704e-05
domainnet,joint,2986863_1,1,0.7495336532592773,0.7495336532592773,0.7495336532592773,1.5916679699371786e-05,1.5916679699371786e-05,1.5916679699371786e-05,,0.33694286080697344,0.33694286080697344,0.012566615039349565,0.012566615039349565,0.012566615039349565,,6.903895575320927e-05,6.903895575320927e-05,6.903895575320927e-05,6.874673163479323e-05
domainnet,joint,2986878_2,1,0.7516233325004578,0.7516233325004578,0.7516233325004578,1.5335278940391694e-05,1.5335278940391694e-05,1.5335278940391694e-05,,0.33518802615582033,0.33518802615582033,0.013978858238516207,0.013978858238516207,0.013978858238516207,,5.588692379537825e-05,5.588692379537825e-05,5.588692379537825e-05,5.6026312464998844e-05
domainnet,joint,2964433_4,1,0.7524970173835754,0.7524970173835754,0.7524970173835754,2.9038960063495905e-05,2.9038960063495905e-05,2.9038960063495905e-05,,0.33517509586159144,0.33517509586159144,0.013661016993099212,0.013661016993099212,0.013661016993099212,,8.281211277954572e-05,8.281211277954572e-05,8.281211277954572e-05,8.292826304203676e-05
domainnet,joint,2986641_0,1,0.7498288154602051,0.7498288154602051,0.7498288154602051,2.2175188513582366e-05,2.2175188513582366e-05,2.2175188513582366e-05,,0.33698734312969525,0.33698734312969525,0.01488384870944549,0.01488384870944549,0.01488384870944549,,8.925286101075929e-05,8.925286101075929e-05,8.925286101075929e-05,8.931213712026285e-05
domainnet,gdumb,2975226_3,5,0.3455502390861511,0.5069729089736938,0.6187762022018433,0.0023681727502166657,0.00037426767770151786,0.00022404615183852162,-0.12660758197307587,0.8609402024035985,0.6318884430462722,0.066869099552084,0.044846847679456195,0.21907626879583697,0.0,0.0017905805238191848,0.0004896146658744178,0.00033016563544152524,0.0004892865377277293
domainnet,gdumb,2974538_1,5,0.3431546092033386,0.49930310249328613,0.6167004704475403,0.0023670879919198886,0.00036785819657618587,0.00021859240474238336,-0.11872392892837524,0.8656018740127032,0.6369426512630696,0.056628405477825515,0.0438644680211974,0.22000787745445116,0.0,0.0017912039263601992,0.00042694833051099197,0.0003243510516722754,0.00042700540935244755
domainnet,gdumb,2974857_2,5,0.3410378396511078,0.4996693730354309,0.6135127544403076,0.002378975238829464,0.0003804029061079251,0.00022691755581101146,-0.12145829200744629,0.8693909089674448,0.6384632217472777,0.05936296146449839,0.04631207546536249,0.22344797554411536,0.0,0.0018227255912346702,0.00046003060710510143,0.00034370459090368505,0.000460240375189304
