dataset,method,run_id,bin,bin_probability,bin_frequency,bin_weight
cifar100,replay,2926856_3,7,0.5003261849151521,0.4362017804154303,0.0337
cifar100,replay,2926856_3,8,0.5654661056443389,0.4852216748768473,0.0406
cifar100,replay,2926856_3,9,0.6344156125423845,0.4604105571847507,0.0341
cifar100,replay,2926856_3,10,0.7005396034511818,0.583756345177665,0.0394
cifar100,replay,2926856_3,11,0.7681416306540231,0.6752336448598131,0.0428
cifar100,replay,2926856_3,12,0.8351568334242877,0.7224264705882353,0.0544
cifar100,replay,2926856_3,13,0.9034563956176036,0.7988165680473372,0.0845
cifar100,replay,2926856_3,14,0.9880695804830016,0.9550580431177446,0.603
cifar100,replay,2925044_0,0,0.0,0.0,0.0
cifar100,replay,2925044_0,1,0.12867143750190735,0.0,0.0002
cifar100,replay,2925044_0,2,0.17559253015825826,0.03225806451612903,0.0031
cifar100,replay,2925044_0,3,0.23984956741333008,0.27631578947368424,0.0076
cifar100,replay,2925044_0,4,0.3025951548519298,0.19658119658119658,0.0117
cifar100,replay,2925044_0,5,0.36807877990021104,0.28735632183908044,0.0174
cifar100,replay,2925044_0,6,0.4352253745583927,0.3713235294117647,0.0272
cifar100,replay,2925044_0,7,0.4995915199393657,0.44776119402985076,0.0335
cifar100,replay,2925044_0,8,0.5676056149767068,0.47229551451187335,0.0379
cifar100,replay,2925044_0,9,0.6322962057710898,0.4696969696969697,0.0396
cifar100,replay,2925044_0,10,0.7017772077565484,0.610079575596817,0.0377
cifar100,replay,2925044_0,11,0.7682610734443832,0.6519823788546255,0.0454
cifar100,replay,2925044_0,12,0.8344379047015765,0.6846846846846847,0.0555
cifar100,replay,2925044_0,13,0.9042035315030944,0.8056234718826406,0.0818
cifar100,replay,2925044_0,14,0.9885893689464167,0.9617559028932491,0.6014
cifar100,replay,2917145_4,0,0.0,0.0,0.0
cifar100,replay,2917145_4,1,0.13055698573589325,0.0,0.0002
cifar100,replay,2917145_4,2,0.1739051265101279,0.1935483870967742,0.0031
cifar100,replay,2917145_4,3,0.23710113525390625,0.30666666666666664,0.0075
cifar100,replay,2917145_4,4,0.30158340229707603,0.3602941176470588,0.0136
cifar100,replay,2917145_4,5,0.37040488950667844,0.27956989247311825,0.0186
cifar100,replay,2917145_4,6,0.434998353322347,0.32083333333333336,0.024
cifar100,replay,2917145_4,7,0.5008017441322064,0.43103448275862066,0.0348
cifar100,replay,2917145_4,8,0.5672074987533244,0.47074468085106386,0.0376
cifar100,replay,2917145_4,9,0.6336740382949876,0.5321100917431193,0.0327
cifar100,replay,2917145_4,10,0.7007088524243228,0.5378590078328982,0.0383
cifar100,replay,2917145_4,11,0.7682796968613834,0.664488017429194,0.0459
cifar100,replay,2917145_4,12,0.8338282959465915,0.7100591715976331,0.0507
cifar100,replay,2917145_4,13,0.9029269581637746,0.7788697788697788,0.0814
cifar100,replay,2917145_4,14,0.9883796886496484,0.9535644211903205,0.6116
cifar100,replay,2926800_2,0,0.0,0.0,0.0
cifar100,replay,2926800_2,1,0.1201237142086029,0.25,0.0004
cifar100,replay,2926800_2,2,0.17788320779800415,0.28125,0.0032
