dataset,method,run_id,bin,bin_probability,bin_frequency,bin_weight
cifar100,tball-mnd,2,5,0.36699110927641954,0.39852786540483703,0.0951
cifar100,tball-mnd,2,6,0.4322142994731938,0.4793577981651376,0.0872
cifar100,tball-mnd,2,7,0.4996926074455206,0.5121065375302664,0.0826
cifar100,tball-mnd,2,8,0.5679389908468935,0.5443786982248521,0.0676
cifar100,tball-mnd,2,9,0.6322420560396634,0.6474358974358975,0.0624
cifar100,tball-mnd,2,10,0.699250308572711,0.718132854578097,0.0557
cifar100,tball-mnd,2,11,0.7650973563459693,0.7581573896353166,0.0521
cifar100,tball-mnd,2,12,0.8341401724041889,0.8128342245989305,0.0561
cifar100,tball-mnd,2,13,0.9016062942976805,0.8797250859106529,0.0582
cifar100,tball-mnd,2,14,0.9715727212221096,0.962474645030426,0.0986
cifar100,tball-mnd,1,0,0.0,0.0,0.0
cifar100,tball-mnd,1,1,0.11376884158721752,0.11299435028248588,0.0177
cifar100,tball-mnd,1,2,0.17002655898613192,0.19790104947526238,0.0667
cifar100,tball-mnd,1,3,0.23419920336298583,0.24474789915966386,0.0952
cifar100,tball-mnd,1,4,0.30005208333333333,0.3425641025641026,0.0975
cifar100,tball-mnd,1,5,0.3670157276810682,0.39373601789709173,0.0894
cifar100,tball-mnd,1,6,0.43283247761636007,0.4080267558528428,0.0897
cifar100,tball-mnd,1,7,0.4999795751633987,0.5320261437908497,0.0765
cifar100,tball-mnd,1,8,0.5669606091969374,0.5598290598290598,0.0702
cifar100,tball-mnd,1,9,0.6322956326641614,0.6012658227848101,0.0632
cifar100,tball-mnd,1,10,0.6997208099096119,0.673721340388007,0.0567
cifar100,tball-mnd,1,11,0.7666976464669052,0.7155635062611807,0.0559
cifar100,tball-mnd,1,12,0.8348483845338983,0.8016949152542373,0.059
cifar100,tball-mnd,1,13,0.8998652403115501,0.8677811550151976,0.0658
cifar100,tball-mnd,1,14,0.9716346543069948,0.9595854922279793,0.0965
cifar100,tball-mnd,0,0,0.0,0.0,0.0
cifar100,tball-mnd,0,1,0.1143525536380597,0.13930348258706468,0.0201
cifar100,tball-mnd,0,2,0.17054614222582973,0.21212121212121213,0.0693
cifar100,tball-mnd,0,3,0.23468079091720326,0.2597984322508399,0.0893
cifar100,tball-mnd,0,4,0.30038313572149344,0.31987891019172554,0.0991
cifar100,tball-mnd,0,5,0.3666088326836016,0.39436619718309857,0.0994
cifar100,tball-mnd,0,6,0.4325865046045504,0.40628385698808234,0.0923
cifar100,tball-mnd,0,7,0.49969512787624376,0.48756218905472637,0.0804
cifar100,tball-mnd,0,8,0.5652504280821918,0.5547945205479452,0.073
cifar100,tball-mnd,0,9,0.6328544192170111,0.6502384737678856,0.0629
cifar100,tball-mnd,0,10,0.6984442067106366,0.6884422110552764,0.0597
cifar100,tball-mnd,0,11,0.7651662250243665,0.7641325536062378,0.0513
cifar100,tball-mnd,0,12,0.833959686622191,0.8576779026217228,0.0534
cifar100,tball-mnd,0,13,0.9007435005252101,0.9109243697478991,0.0595
cifar100,tball-mnd,0,14,0.9706658144725914,0.9756367663344407,0.0903
cifar100,tball-mnd,3,0,0.055938720703125,0.0,0.0001
cifar100,tball-mnd,3,1,0.11111699884588068,0.14545454545454545,0.022
cifar100,tball-mnd,3,2,0.17100156278596265,0.18887262079062958,0.0683
cifar100,tball-mnd,3,3,0.23307472511574073,0.24867724867724866,0.0945
cifar100,tball-mnd,3,4,0.3001015701368524,0.3284457478005865,0.1023
cifar100,tball-mnd,3,5,0.3671998355263158,0.38421052631578945,0.095
cifar100,tball-mnd,3,6,0.4324660658170391,0.47150837988826816,0.0895
cifar100,tball-mnd,3,7,0.4992833291330645,0.5470967741935484,0.0775
cifar100,tball-mnd,3,8,0.5663031014231824,0.5596707818930041,0.0729
cifar100,tball-mnd,3,9,0.633816146246038,0.6497622820919176,0.0631
cifar100,tball-mnd,3,10,0.7007570984543011,0.7240143369175627,0.0558
cifar100,tball-mnd,3,11,0.7660346753669508,0.7821969696969697,0.0528
cifar100,tball-mnd,3,12,0.8322962651022305,0.8661710037174721,0.0538
cifar100,tball-mnd,3,13,0.9002646169354839,0.9032258064516129,0.062
cifar100,tball-mnd,3,14,0.9710288258780421,0.9690265486725663,0.0904
cifar100,tball-mnd,4,0,0.061981201171875,0.0,0.0001
