dataset,method,run_id,task,accuracy_all,accuracy_seen,ace_all,ace_seen,brier_all,ece_all,ece_seen,sce_all,sce_seen
cifar100,clora,1,7,0.3943,0.492875,0.00399425808399031,0.00041598651836276994,0.7701238838332299,0.08412466481626031,0.035553652446717036,0.0023345093383789067,0.0008542077255249027
cifar100,clora,1,8,0.42360002,0.47066668,0.002007763265274931,0.00032572456793781993,0.7389111934847503,0.07323969707489013,0.05198064952426488,0.001442663055419922,0.000982909545898438
cifar100,clora,1,9,0.4618,0.4618,0.0004227046232223525,0.0004227046232223525,0.6820609465139996,0.03398230750262737,0.03398230750262737,0.0006841878967285155,0.0006841878967285155
cifar100,clora,0,0,0.0947,0.947,0.017935002771943112,1.7540882733447826e-06,1.4642752159135757,0.6486475141644479,0.02219616270065308,0.016832914825439454,0.00030773461818695084
cifar100,clora,0,1,0.15669999,0.78349996,0.015947228553213094,1.090222808321526e-05,1.209920594788914,0.4599323732584715,0.02316350287199021,0.01390818682861328,0.0003655669212341311
cifar100,clora,0,2,0.2117,0.7056667,0.013982494758732852,4.214031474585462e-05,1.0942914381016693,0.3834043765068055,0.0381545436680317,0.011606098205566406,0.0007315013631184897
cifar100,clora,0,3,0.2596,0.64900005,0.011988870786392134,5.790155254457998e-05,1.0000938491545832,0.30697469177246095,0.021369488209486007,0.00942993640136719,0.00041933815002441385
cifar100,clora,0,4,0.30170003,0.6034,0.009988656403361645,0.00014319635133292472,0.9205838567924638,0.244578374004364,0.024657324314117424,0.007485395904541015,0.0004990710144042967
cifar100,clora,0,5,0.3379,0.5631667,0.007981488534504606,2.553195712942249e-05,0.8618350450690486,0.19150276847258213,0.026619474258273844,0.005779548400878906,0.0005900600179036458
cifar100,clora,0,6,0.37939996,0.542,0.005988406530262205,0.0005063827515235505,0.8008704012930365,0.12094132118225098,0.027287837709699378,0.0036946802368164064,0.0008669629342215404
cifar100,clora,0,7,0.3916,0.48950002,0.003998660286140861,0.0002179378693988837,0.7746698430989463,0.1003910789065063,0.02894464177824557,0.002671383270263671,0.0006149752426147461
cifar100,clora,0,8,0.43649998,0.48499998,0.002001221930768807,0.0003235332475871672,0.7225841433804707,0.058125553397834304,0.03351380165914694,0.0013741334533691409,0.0005202611965603297
cifar100,clora,0,9,0.46929997,0.46929997,0.0004328884197212768,0.0004328884197212768,0.680869290653127,0.03910624287128449,0.03910624287128449,0.0007927489013671877,0.0007927489013671877
cifar100,clora,3,0,0.0932,0.932,0.017955156456861063,1.6018075377834896e-06,1.4864932850138108,0.6664657279849053,0.02387013733386991,0.01691721240234375,0.0003766055345535276
cifar100,clora,3,1,0.1607,0.8035,0.01595558099312075,1.1516558895915182e-05,1.232207647195455,0.48236425775215036,0.022446182966232273,0.014066408264160156,0.00031019289016723613
cifar100,clora,3,2,0.21659999,0.72199994,0.013976905155187621,5.846960069585094e-05,1.0943461544616977,0.3799699359536171,0.02419651482502618,0.01165623944091797,0.0003766780853271482
cifar100,clora,3,3,0.2617,0.65425,0.01198885045548613,7.708506825283677e-05,0.9953514418974075,0.302174304676056,0.01861935310065745,0.009401329223632812,0.00042186199188232415
cifar100,clora,3,4,0.30170003,0.60339993,0.009990553648121422,0.00010365596280014116,0.926191785246758,0.2456236408233643,0.025338508963584895,0.0076178125610351565,0.0005157336120605469
cifar100,clora,3,5,0.34320003,0.57199997,0.007994115932610875,7.180541357377074e-05,0.849856192542726,0.18062329286113382,0.018527403871218373,0.005876570892333986,0.00033365041097005194
cifar100,clora,3,6,0.3715,0.5307142,0.005993200409452547,0.00016086872292923632,0.8096069187717221,0.1412756484001875,0.026254341534205847,0.004173579833984375,0.0005147348458426338
cifar100,clora,3,7,0.3955,0.494375,0.003991581296512857,0.00031662630786871964,0.77520731411986,0.10095637872107327,0.038249936311040074,0.002698471405029297,0.0007017898941040039
cifar100,clora,3,8,0.44090003,0.48988894,0.001997960635617375,0.00036515204974036264,0.7157211418836698,0.06417709569036961,0.032668113168742914,0.0012853848876953125,0.0007362243313259548
cifar100,clora,3,9,0.47889996,0.47889996,0.0004867635337002583,0.0004867635337002583,0.6662054607720673,0.028421580988168726,0.028421580988168726,0.000597896942138672,0.000597896942138672
cifar100,clora,4,0,0.0951,0.951,0.017954823735141984,1.5569165789750824e-06,1.4720478778889718,0.6546314542412758,0.019672598898410838,0.016876040344238282,0.00025872541427612346
cifar100,clora,4,1,0.1629,0.8145,0.015959713407963254,6.2284092224376985e-06,1.2188816522714654,0.46832980229556564,0.026151454031467417,0.013979626098632812,0.0004981465530395504
cifar100,clora,4,2,0.223,0.74333334,0.013984892398785975,4.286171716106453e-05,1.083772993266081,0.3712975337862968,0.018571118265390395,0.011673850708007812,0.00023208961486816408
cifar100,clora,4,3,0.2664,0.666,0.011991115005355709,2.357168514186893e-05,0.99856716421478,0.308848293876648,0.022371596947312354,0.009587353332519527,0.00037387588500976547
cifar100,clora,4,4,0.303,0.60600007,0.009988724395973262,0.00012770812392181007,0.9345369977070567,0.25562412471771245,0.025560590219497685,0.0077541738586425785,0.0004680887145996095
cifar100,clora,4,5,0.33810002,0.5635,0.007992736776968115,0.0001258247111514341,0.8657445883959576,0.1846241074562073,0.019912821610768627,0.005884318420410156,0.0003526009623209634
cifar100,clora,4,6,0.3627,0.5181428,0.005992485470017186,0.0002747754007755846,0.8221311149391535,0.14154579887390137,0.029137813704354427,0.0040797530822753916,0.000651075439453125
cifar100,clora,4,7,0.3883,0.485375,0.003997011125728255,0.0002072587156295784,0.7883302389140312,0.11793285369873045,0.05419029355049134,0.0029107682800292977,0.0009609362411499029
cifar100,clora,4,8,0.4224,0.46933332,0.0020088579051434057,0.00016634658595909336,0.7330887359426536,0.0653773884177208,0.03326553857326506,0.0014436213378906245,0.0005741754150390624
cifar100,clora,4,9,0.4692,0.4692,0.00038037639329209993,0.00038037639329209993,0.6778827531288093,0.029578612482547752,0.029578612482547752,0.0007042421264648437,0.0007042421264648437
cifar100,ewc,2,0,0.0939,0.939,0.017885718125159853,1.0832559371009636e-05,1.4070317392047185,0.5989629939913749,0.024228449478745466,0.016531245880126954,0.000434822063446045
cifar100,ewc,2,1,0.13159999,0.658,0.015937293176740645,5.871000221956003e-05,1.1769812731646405,0.4057779294013978,0.039583026513457305,0.013490282470703123,0.0006948767852783203
cifar100,ewc,2,2,0.1798,0.59933335,0.013938780240539461,0.0002503276897199494,1.058392521695928,0.30366466841697687,0.026119361003239944,0.010581386871337889,0.0008852214050292966
cifar100,ewc,2,3,0.2016,0.504,0.011935612478782423,0.00040490770103439105,0.9978207683296038,0.23197329406738282,0.027406735301017757,0.008186207214355468,0.0007704143905639645
cifar100,ewc,2,4,0.21489999,0.42980003,0.009964142500238493,0.0004237146548032767,0.9804564027103028,0.2168620348192751,0.06945438346862792,0.006515600402832032,0.001259039947509766
cifar100,ewc,2,5,0.2316,0.386,0.007965331395192074,0.00010042647949264675,0.9573276388614699,0.1864655241072178,0.06868801371256508,0.005419321395874024,0.0013362992350260418
cifar100,ewc,2,6,0.2401,0.34299996,0.005983497996000573,9.602257470999445e-05,0.9177226240154256,0.13518489149808885,0.051624321107353474,0.0036689667510986326,0.0010506071036202565
cifar100,ewc,2,7,0.2265,0.283125,0.004028648618146777,0.0008417370146280147,0.924725857086425,0.13896342096328734,0.1017243619412184,0.003357171493530273,0.0020573693656921388
